time;GAST;deltaT;deltaTabs
-350000000;20.10882854;-0.599358559;0.599358559
-349000000;19.89265728;-0.216171265;0.216171265
-348000000;19.71959019;-0.173067093;0.173067093
-347000000;19.54403782;-0.175552368;0.175552368
-346000000;19.36568642;-0.178351402;0.178351402
-345000000;19.19680977;-0.168876648;0.168876648
-344000000;19.104702;-0.092107773;0.092107773
-343000000;19.0160017;-0.088700294;0.088700294
-342000000;18.9306612;-0.0853405;0.0853405
-341000000;18.84501362;-0.085647583;0.085647583
-340000000;18.7678709;-0.077142715;0.077142715
-339000000;18.77012634;0.00225544;0.00225544
-338000000;18.78049183;0.010365486;0.010365486
-337000000;18.79461193;0.014120102;0.014120102
-336000000;18.80448818;0.009876251;0.009876251
-335000000;18.8085413;0.004053116;0.004053116
-334000000;18.73937416;-0.069167137;0.069167137
-333000000;18.66368675;-0.075687408;0.075687408
-332000000;18.58334732;-0.080339432;0.080339432
-331000000;18.50890446;-0.074442863;0.074442863
-330000000;18.40501976;-0.103884697;0.103884697
-329000000;18.05796146;-0.347058296;0.347058296
-328000000;17.68207932;-0.375882149;0.375882149
-327000000;17.30645752;-0.375621796;0.375621796
-326000000;16.93287182;-0.373585701;0.373585701
-325000000;16.55217075;-0.380701065;0.380701065
-324000000;16.11941051;-0.432760239;0.432760239
-323000000;15.68733597;-0.432074547;0.432074547
-322000000;15.25105095;-0.436285019;0.436285019
-321000000;14.81234598;-0.438704967;0.438704967
-320000000;14.42934132;-0.383004665;0.383004665
-319000000;14.50425529;0.074913979;0.074913979
-318000000;14.62115431;0.116899014;0.116899014
-317000000;14.73650455;0.115350246;0.115350246
-316000000;14.85471249;0.118207932;0.118207932
-315000000;14.97435999;0.119647503;0.119647503
-314000000;15.13476276;0.160402775;0.160402775
-313000000;15.29951143;0.164748669;0.164748669
-312000000;15.46261883;0.163107395;0.163107395
-311000000;15.6260457;0.163426876;0.163426876
-310000000;15.77529764;0.149251938;0.149251938
-309000000;15.77201319;-0.003284454;0.003284454
-308000000;15.75405979;-0.017953396;0.017953396
-307000000;15.73665524;-0.017404556;0.017404556
-306000000;15.71887779;-0.017777443;0.017777443
-305000000;15.69865751;-0.02022028;0.02022028
-304000000;15.66514969;-0.033507824;0.033507824
-303000000;15.63035965;-0.034790039;0.034790039
-302000000;15.59606504;-0.034294605;0.034294605
-301000000;15.56036854;-0.035696507;0.035696507
-300000000;15.50601768;-0.054350853;0.054350853
-299000000;15.28533554;-0.220682144;0.220682144
-298000000;15.04499722;-0.240338326;0.240338326
-297000000;14.80505037;-0.239946842;0.239946842
-296000000;14.56543684;-0.239613533;0.239613533
-295000000;14.36335135;-0.202085495;0.202085495
-294000000;14.54688835;0.183537006;0.183537006
-293000000;14.76863146;0.221743107;0.221743107
-292000000;14.99185228;0.223220825;0.223220825
-291000000;15.21236849;0.220516205;0.220516205
-290000000;15.39566422;0.183295727;0.183295727
-289000000;15.20102024;-0.194643974;0.194643974
-288000000;14.96943378;-0.231586456;0.231586456
-287000000;14.73565054;-0.233783245;0.233783245
-286000000;14.50178862;-0.233861923;0.233861923
-285000000;14.26607323;-0.235715389;0.235715389
-284000000;14.00569248;-0.260380745;0.260380745
-283000000;13.74397373;-0.26171875;0.26171875
-282000000;13.4824152;-0.261558533;0.261558533
-281000000;13.21872759;-0.263687611;0.263687611
-280000000;13.02102709;-0.1977005;0.1977005
-279000000;13.43796682;0.416939735;0.416939735
-278000000;13.91343021;0.47546339;0.47546339
-277000000;14.38960838;0.476178169;0.476178169
-276000000;14.864326;0.474717617;0.474717617
-275000000;15.32553864;0.461212635;0.461212635
-274000000;15.66347027;0.337931633;0.337931633
-273000000;15.98803282;0.32456255;0.32456255
-272000000;16.31168747;0.323654652;0.323654652
-271000000;16.6357851;0.324097633;0.324097633
-270000000;16.93389702;0.298111916;0.298111916
-269000000;16.95552444;0.021627426;0.021627426
-268000000;16.94964409;-0.005880356;0.005880356
-267000000;16.94407177;-0.005572319;0.005572319
-266000000;16.93826294;-0.00580883;0.00580883
-265000000;16.96667862;0.02841568;0.02841568
-264000000;17.34234619;0.375667572;0.375667572
-263000000;17.75354481;0.411198616;0.411198616
-262000000;18.16346264;0.409917831;0.409917831
-261000000;18.5728035;0.409340858;0.409340858
-260000000;18.93696022;0.364156723;0.364156723
-259000000;18.90903187;-0.027928352;0.027928352
-258000000;18.83799744;-0.071034431;0.071034431
-257000000;18.76708412;-0.070913315;0.070913315
-256000000;18.69626617;-0.070817947;0.070817947
-255000000;18.84831142;0.15204525;0.15204525
-254000000;21.25031471;2.402003288;2.402003288
-253000000;23.87712002;2.626805305;2.626805305
-252000000;26.50269222;2.625572205;2.625572205
-251000000;29.12711525;2.624423027;2.624423027
-250000000;31.45697975;2.329864502;2.329864502
-249000000;30.83851242;-0.618467331;0.618467331
-248000000;29.92601871;-0.912493706;0.912493706
-247000000;29.01194954;-0.914069176;0.914069176
-246000000;28.09836006;-0.913589478;0.913589478
-245000000;27.21595001;-0.882410049;0.882410049
-244000000;26.66041279;-0.555537224;0.555537224
-243000000;26.13592148;-0.52449131;0.52449131
-242000000;25.61050892;-0.52541256;0.52541256
-241000000;25.08164787;-0.528861046;0.528861046
-240000000;24.56818771;-0.513460159;0.513460159
-239000000;24.13136005;-0.43682766;0.43682766
-238000000;23.70192242;-0.429437637;0.429437637
-237000000;23.27360535;-0.42831707;0.42831707
-236000000;22.84788418;-0.425721169;0.425721169
-235000000;22.48074532;-0.367138863;0.367138863
-234000000;22.68211174;0.201366425;0.201366425
-233000000;22.94419861;0.262086868;0.262086868
-232000000;23.20835972;0.26416111;0.26416111
-231000000;23.47425365;0.265893936;0.265893936
-230000000;23.69538403;0.221130371;0.221130371
-229000000;23.47332668;-0.222057343;0.222057343
-228000000;23.20791817;-0.265408516;0.265408516
-227000000;22.94179535;-0.266122818;0.266122818
-226000000;22.67461777;-0.267177582;0.267177582
-225000000;22.43302727;-0.2415905;0.2415905
-224000000;22.43379116;0.000763893;0.000763893
-223000000;22.46150494;0.027713776;0.027713776
-222000000;22.48630238;0.02479744;0.02479744
-221000000;22.50750256;0.02120018;0.02120018
-220000000;22.56138134;0.053878784;0.053878784
-219000000;22.95445728;0.393075943;0.393075943
-218000000;23.37962914;0.425171852;0.425171852
-217000000;23.8021183;0.422489166;0.422489166
-216000000;24.22432041;0.42220211;0.42220211
-215000000;24.59825706;0.373936653;0.373936653
-214000000;24.50142956;-0.096827507;0.096827507
-213000000;24.35862923;-0.142800331;0.142800331
-212000000;24.21063137;-0.147997856;0.147997856
-211000000;24.06434536;-0.146286011;0.146286011
-210000000;23.8732233;-0.191122055;0.191122055
-209000000;23.23099136;-0.642231941;0.642231941
-208000000;22.53982258;-0.691168785;0.691168785
-207000000;21.85237217;-0.687450409;0.687450409
-206000000;21.16473579;-0.687636375;0.687636375
-205000000;20.57338428;-0.591351509;0.591351509
-204000000;20.98082256;0.407438278;0.407438278
-203000000;21.48908329;0.508260727;0.508260727
-202000000;21.99884605;0.509762764;0.509762764
-201000000;22.50614643;0.507300377;0.507300377
-200000000;22.92994308;0.423796654;0.423796654
-199000000;22.4906702;-0.439272881;0.439272881
-198000000;21.96146774;-0.529202461;0.529202461
-197000000;21.42980194;-0.531665802;0.531665802
-196000000;20.89715195;-0.532649994;0.532649994
-195000000;20.4054718;-0.491680145;0.491680145
-194000000;20.328578;-0.076893806;0.076893806
-193000000;20.29163837;-0.036939621;0.036939621
-192000000;20.25374508;-0.037893295;0.037893295
-191000000;20.21514893;-0.038596153;0.038596153
