site;age;pH;pH_16pc;pH_84pc;xco2;xco2_16pc;xco2_84pc;xco2_alkalinityLow;xco2_alkalinityHigh;ref
668B;3.6;8.187;8.172;8.202;271;254;289;250;293;Hönisch et al., 2009
668B;3.6;8.181;8.166;8.196;277;259;295;255;299;Hönisch et al., 2009
999A;3.9;8.139;8.123;8.154;290;270;311;265;315;Foster, 2008
999A;4.6;8.150;8.135;8.165;279;260;299;255;303;Foster, 2008
999A;5.0;8.130;8.115;8.145;298;278;320;273;324;Foster, 2008
999A;7.8;8.159;8.144;8.174;272;253;291;248;295;Foster, 2008
999A;7.8;8.146;8.130;8.161;283;264;304;259;308;Foster, 2008
999A;9.5;8.149;8.134;8.164;281;262;301;257;305;Foster, 2008
999A;10.3;8.182;8.167;8.197;252;235;271;231;274;Foster, 2008
999A;11.7;8.161;8.146;8.176;271;252;290;248;294;Foster, 2008
999A;14.0;8.190;8.175;8.205;246;229;264;225;268;Foster, 2008
668B;14.6;8.223;8.209;8.238;243;227;258;223;262;Hönisch et al., 2009
668B;14.6;8.237;8.222;8.251;233;218;248;214;252;Hönisch et al., 2009
999A;15.1;8.195;8.180;8.210;242;225;260;221;263;Foster, 2008
999A;15.1;8.211;8.196;8.226;230;213;246;209;250;Foster, 2008
926A;17.0;8.245;8.229;8.261;230;215;246;211;248;Sosdian et al., 2018
999A;17.3;8.207;8.192;8.222;233;217;250;213;254;Foster, 2008
999A;19.2;8.299;8.284;8.313;171;159;183;155;186;Foster, 2008
668B;20.4;8.329;8.315;8.343;177;166;188;163;191;Hönisch et al., 2009
999A;21.1;8.236;8.221;8.251;212;197;228;194;231;Foster, 2008
999A;22.5;8.235;8.220;8.250;212;198;228;194;231;Foster, 2008
999A;24.8;8.269;8.254;8.283;190;176;204;173;207;Foster, 2008
999A;26.3;8.283;8.268;8.298;181;168;194;164;197;Foster, 2008
999A;26.3;8.291;8.276;8.306;175;163;188;160;191;Foster, 2008
999A;36.9;8.219;8.204;8.234;224;209;241;205;244;Foster, 2008
668B;40.8;8.266;8.252;8.281;214;201;228;197;231;Hönisch et al., 2009
999A;47.1;8.226;8.211;8.241;219;204;235;200;239;Foster, 2008
999A;52.3;8.240;8.225;8.255;209;194;224;191;227;Foster, 2008
999A;61.4;8.239;8.225;8.254;209;194;224;191;228;Foster, 2008
668B;70.6;8.225;8.211;8.240;243;228;259;224;263;Hönisch et al., 2009
999A;76.3;8.187;8.172;8.202;249;232;267;228;271;Foster, 2008
999A;83.0;8.185;8.170;8.201;251;233;269;229;272;Foster, 2008
999A;88.1;8.153;8.138;8.168;278;259;298;254;302;Foster, 2008
999A;99.6;8.141;8.126;8.156;289;269;310;264;314;Foster, 2008
999A;104.5;8.168;8.153;8.183;265;247;284;242;288;Foster, 2008
999A;111.3;8.136;8.121;8.151;295;275;316;270;320;Chalk et al., 2017
668B;113.6;8.192;8.178;8.207;267;250;284;245;288;Hönisch et al., 2009
999A;114.2;8.103;8.087;8.118;327;304;350;299;354;Foster, 2008
999A;116.1;8.085;8.069;8.101;345;321;370;316;374;Foster, 2008
999A;119.1;8.111;8.095;8.128;318;296;341;291;345;Chalk et al., 2017
999A;119.1;8.074;8.058;8.090;356;332;382;327;386;Foster, 2008
999A;122.3;8.147;8.132;8.162;282;263;302;258;306;Foster, 2008
668B;123.2;8.135;8.120;8.150;315;295;335;290;340;Hönisch et al., 2009
999A;124.4;8.129;8.115;8.143;299;279;320;274;325;Chalk et al., 2017
999A;127.5;8.141;8.126;8.155;288;269;308;264;313;Chalk et al., 2017
668B;128.1;8.178;8.163;8.192;278;260;296;256;300;Hönisch et al., 2009
999A;131.0;8.129;8.114;8.144;298;278;320;273;324;Foster, 2008
999A;131.9;8.170;8.156;8.185;262;244;280;239;285;Chalk et al., 2017
999A;133.2;8.187;8.173;8.201;249;232;267;228;271;Chalk et al., 2017
999A;134.0;8.225;8.210;8.239;219;204;235;200;239;Chalk et al., 2017
999A;135.6;8.227;8.213;8.242;218;203;234;199;237;Chalk et al., 2017
668B;136.8;8.296;8.282;8.310;196;183;209;180;212;Hönisch et al., 2009
668B;138.6;8.329;8.315;8.344;176;165;187;162;190;Hönisch et al., 2009
999A;139.0;8.228;8.213;8.242;218;203;233;199;237;Chalk et al., 2017
999A;146.7;8.215;8.201;8.230;227;211;243;207;247;Chalk et al., 2017
999A;150.0;8.227;8.213;8.241;218;203;234;199;237;Chalk et al., 2017
999A;169.8;8.227;8.213;8.241;218;203;234;199;237;Chalk et al., 2017
999A;179.9;8.231;8.217;8.245;216;201;231;197;235;Chalk et al., 2017
999A;184.4;8.218;8.204;8.233;225;210;241;206;245;Chalk et al., 2017
999A;190.0;8.205;8.191;8.219;236;220;252;215;257;Chalk et al., 2017
999A;191.7;8.206;8.191;8.221;236;220;253;216;257;Chalk et al., 2017
999A;198.1;8.175;8.161;8.189;262;244;280;239;284;Chalk et al., 2017
999A;211.6;8.138;8.123;8.154;293;273;314;268;318;Chalk et al., 2017
999A;220.4;8.156;8.142;8.170;276;257;294;252;299;Chalk et al., 2017
999A;223.7;8.157;8.141;8.173;275;255;295;251;298;Chalk et al., 2017
999A;227.1;8.193;8.178;8.208;246;229;263;225;267;Chalk et al., 2017
999A;235.8;8.157;8.142;8.172;277;258;297;253;300;Chalk et al., 2017
999A;239.5;8.181;8.166;8.195;256;239;274;234;278;Chalk et al., 2017
999A;242.9;8.138;8.122;8.153;293;273;314;268;318;Chalk et al., 2017
999A;247.2;8.157;8.142;8.172;276;257;295;252;299;Chalk et al., 2017
999A;250.1;8.203;8.189;8.217;237;220;253;216;257;Chalk et al., 2017
999A;257.8;8.192;8.178;8.206;246;230;263;225;267;Chalk et al., 2017
668B;329.1;8.147;8.132;8.162;306;287;326;282;330;Hönisch et al., 2009
668B;358.5;8.270;8.255;8.284;212;199;226;195;229;Hönisch et al., 2009
668B;366.9;8.249;8.234;8.263;226;211;240;208;244;Hönisch et al., 2009
668B;386.4;8.208;8.193;8.223;255;239;271;235;275;Hönisch et al., 2009
668B;409.1;8.144;8.130;8.159;307;287;327;283;331;Hönisch et al., 2009
668B;418.8;8.176;8.161;8.191;280;262;298;258;302;Hönisch et al., 2009
668B;541.6;8.222;8.208;8.237;244;229;260;225;264;Hönisch et al., 2009
926A;556.1;8.222;8.196;8.248;245;224;268;226;265;Sosdian et al., 2018
668B;616.3;8.206;8.192;8.221;255;239;272;235;276;Hönisch et al., 2009
668B;651.0;8.333;8.319;8.347;174;163;185;160;188;Hönisch et al., 2009
668B;662.1;8.292;8.277;8.306;198;186;211;182;214;Hönisch et al., 2009
668B;675.0;8.260;8.246;8.275;217;204;231;200;235;Hönisch et al., 2009
668B;702.2;8.202;8.188;8.217;258;242;275;237;279;Hönisch et al., 2009
668B;703.5;8.190;8.176;8.205;268;251;286;247;289;Hönisch et al., 2009
668B;731.0;8.246;8.232;8.261;226;212;241;208;245;Hönisch et al., 2009
668B;752.4;8.275;8.261;8.289;209;196;222;192;226;Hönisch et al., 2009
668B;891.9;8.285;8.271;8.299;202;189;215;186;218;Hönisch et al., 2009
668B;950.0;8.165;8.150;8.180;289;271;308;266;312;Hönisch et al., 2009
668B;952.8;8.138;8.123;8.153;313;294;334;289;338;Hönisch et al., 2009
668B;1072.8;8.152;8.137;8.167;301;282;321;277;325;Hönisch et al., 2009
668B;1078.9;8.198;8.183;8.213;262;246;280;242;283;Hönisch et al., 2009
999A;1087.3;8.192;8.179;8.206;246;230;263;225;268;Chalk et al., 2017
999A;1088.7;8.159;8.145;8.173;275;256;293;251;298;Chalk et al., 2017
999A;1090.0;8.206;8.192;8.219;236;220;252;215;256;Chalk et al., 2017
999A;1092.7;8.179;8.165;8.193;257;240;275;235;279;Chalk et al., 2017
999A;1094.7;8.167;8.152;8.181;267;249;285;244;290;Chalk et al., 2017
999A;1099.5;8.084;8.070;8.099;347;324;370;318;376;Chalk et al., 2017
999A;1102.4;8.105;8.091;8.120;325;303;347;297;352;Chalk et al., 2017
999A;1103.2;8.094;8.078;8.112;335;312;360;307;364;Chalk et al., 2017
999A;1106.2;8.173;8.160;8.186;262;245;279;239;284;Chalk et al., 2017
999A;1107.8;8.152;8.138;8.166;281;262;300;257;305;Chalk et al., 2017
999A;1110.3;8.126;8.112;8.140;304;284;324;278;330;Chalk et al., 2017
999A;1112.8;8.173;8.159;8.187;261;244;279;239;284;Chalk et al., 2017
999A;1115.3;8.198;8.185;8.212;241;225;258;220;262;Chalk et al., 2017
999A;1117.9;8.217;8.204;8.230;227;211;242;207;246;Chalk et al., 2017
999A;1120.4;8.170;8.157;8.183;264;246;281;241;286;Chalk et al., 2017
999A;1123.1;8.232;8.219;8.245;215;200;229;196;234;Chalk et al., 2017
999A;1126.1;8.173;8.159;8.188;263;245;281;240;285;Chalk et al., 2017
999A;1127.8;8.175;8.161;8.190;261;243;279;239;284;Chalk et al., 2017
999A;1131.0;8.169;8.155;8.182;266;249;284;243;289;Chalk et al., 2017
999A;1136.6;8.116;8.103;8.130;314;294;335;288;341;Chalk et al., 2017
999A;1140.0;8.101;8.086;8.115;331;309;353;303;359;Chalk et al., 2017
999A;1143.2;8.132;8.117;8.148;300;280;322;275;326;Chalk et al., 2017
999A;1145.3;8.112;8.096;8.127;320;298;342;293;347;Chalk et al., 2017
999A;1148.9;8.095;8.076;8.115;337;311;363;308;365;Chalk et al., 2017
999A;1150.9;8.154;8.139;8.170;281;262;301;257;305;Chalk et al., 2017
999A;1154.1;8.171;8.156;8.186;266;248;284;243;288;Chalk et al., 2017
999A;1157.8;8.107;8.092;8.123;324;302;346;297;351;Chalk et al., 2017
999A;1160.7;8.098;8.083;8.113;334;311;357;306;362;Chalk et al., 2017
999A;1162.9;8.136;8.122;8.150;296;276;316;271;321;Chalk et al., 2017
668B;1168.3;8.187;8.173;8.202;271;254;289;249;293;Hönisch et al., 2009
999A;1169.9;8.126;8.112;8.139;305;285;326;279;331;Chalk et al., 2017
999A;1177.6;8.138;8.125;8.152;294;274;313;269;319;Chalk et al., 2017
999A;1179.7;8.151;8.137;8.165;282;263;301;258;306;Chalk et al., 2017
999A;1181.8;8.190;8.177;8.203;248;231;265;227;269;Chalk et al., 2017
999A;1184.1;8.201;8.187;8.214;241;224;257;220;261;Chalk et al., 2017
999A;1186.0;8.159;8.145;8.173;275;256;294;251;298;Chalk et al., 2017
999A;1188.1;8.148;8.134;8.162;285;266;304;260;309;Chalk et al., 2017
999A;1191.3;8.216;8.203;8.229;228;213;244;209;248;Chalk et al., 2017
668B;1192.4;8.265;8.251;8.279;214;201;228;197;231;Hönisch et al., 2009
999A;1195.2;8.227;8.214;8.241;221;206;236;202;240;Chalk et al., 2017
999A;1203.3;8.247;8.234;8.260;206;192;220;188;224;Chalk et al., 2017
999A;1206.8;8.210;8.197;8.223;232;216;248;212;252;Chalk et al., 2017
999A;1210.0;8.182;8.169;8.196;255;238;272;233;277;Chalk et al., 2017
668B;1212.5;8.245;8.231;8.260;228;214;243;210;247;Hönisch et al., 2009
999A;1214.5;8.121;8.107;8.135;311;290;331;284;337;Chalk et al., 2017
999A;1216.4;8.140;8.125;8.155;293;273;313;268;317;Chalk et al., 2017
999A;1218.5;8.108;8.093;8.123;323;302;346;296;351;Chalk et al., 2017
999A;1224.2;8.161;8.146;8.176;273;254;292;250;296;Chalk et al., 2017
999A;1227.2;8.140;8.126;8.155;292;272;312;267;317;Chalk et al., 2017
999A;1230.7;8.093;8.077;8.109;338;315;363;310;367;Chalk et al., 2017
668B;1233.3;8.210;8.195;8.225;253;237;270;233;274;Hönisch et al., 2009
999A;1233.9;8.111;8.096;8.126;319;298;341;292;346;Chalk et al., 2017
999A;1236.2;8.151;8.137;8.164;282;263;301;257;306;Chalk et al., 2017
668B;1238.7;8.178;8.164;8.193;278;260;296;256;300;Hönisch et al., 2009
999A;1239.8;8.143;8.128;8.157;288;269;308;264;313;Chalk et al., 2017
999A;1243.3;8.115;8.102;8.128;314;293;335;287;340;Chalk et al., 2017
668B;1253.0;8.281;8.267;8.295;205;192;218;188;221;Hönisch et al., 2009
668B;1261.7;8.222;8.207;8.236;244;229;260;225;264;Hönisch et al., 2009
668B;1351.5;8.162;8.147;8.177;292;273;311;269;315;Hönisch et al., 2009
668B;1380.3;8.251;8.237;8.266;223;209;237;205;241;Hönisch et al., 2009
668B;1384.0;8.256;8.242;8.270;218;204;232;201;236;Dyez et al., 2018
668B;1392.7;8.166;8.149;8.184;288;269;308;265;311;Dyez et al., 2018
668B;1397.3;8.180;8.166;8.194;277;260;295;255;299;Dyez et al., 2018
668B;1402.0;8.128;8.112;8.144;325;304;347;299;351;Dyez et al., 2018
668B;1408.0;8.138;8.115;8.161;314;289;341;290;339;Dyez et al., 2018
668B;1414.0;8.199;8.184;8.214;262;245;279;241;283;Dyez et al., 2018
668B;1420.0;8.280;8.264;8.297;204;190;218;187;220;Dyez et al., 2018
668B;1425.2;8.227;8.212;8.243;240;224;256;220;259;Dyez et al., 2018
668B;1430.3;8.238;8.221;8.255;232;216;248;213;250;Dyez et al., 2018
668B;1435.5;8.215;8.191;8.239;248;228;270;229;268;Dyez et al., 2018
668B;1440.7;8.156;8.141;8.171;297;278;317;274;321;Dyez et al., 2018
668B;1445.8;8.159;8.142;8.177;294;274;315;270;317;Dyez et al., 2018
668B;1451.0;8.200;8.176;8.223;261;239;283;240;281;Dyez et al., 2018
668B;1455.5;8.230;8.214;8.246;238;222;254;219;257;Dyez et al., 2018
668B;1459.4;8.200;8.185;8.216;261;244;278;240;282;Dyez et al., 2018
668B;1464.5;8.212;8.197;8.226;251;235;268;231;271;Dyez et al., 2018
668B;1473.5;8.171;8.157;8.185;285;267;303;262;308;Dyez et al., 2018
668B;1478.0;8.179;8.165;8.194;278;260;295;255;300;Dyez et al., 2018
668B;1482.5;8.240;8.226;8.254;231;217;246;212;250;Dyez et al., 2018
668B;1487.0;8.196;8.182;8.211;263;246;280;242;284;Hönisch et al., 2009
668B;1490.0;8.154;8.140;8.169;298;279;317;274;322;Dyez et al., 2018
668B;1493.0;8.259;8.245;8.273;217;203;231;199;234;Dyez et al., 2018
668B;1496.4;8.283;8.269;8.297;201;189;215;185;218;Dyez et al., 2018
668B;1499.0;8.248;8.234;8.263;225;211;240;207;243;Hönisch et al., 2009
668B;1499.0;8.247;8.234;8.260;225;211;239;207;243;Dyez et al., 2018
668B;1502.3;8.315;8.301;8.329;183;172;195;168;198;Dyez et al., 2018
668B;1505.7;8.214;8.201;8.228;250;235;266;230;270;Dyez et al., 2018
668B;1509.0;8.176;8.161;8.191;280;262;298;258;302;Dyez et al., 2018
668B;1512.3;8.245;8.230;8.260;227;212;242;208;245;Dyez et al., 2018
668B;1515.7;8.150;8.135;8.165;303;284;323;279;327;Dyez et al., 2018
668B;1519.0;8.174;8.159;8.189;282;264;301;260;305;Dyez et al., 2018
668B;1522.3;8.167;8.150;8.184;288;269;308;265;311;Dyez et al., 2018
668B;1525.7;8.141;8.127;8.155;311;291;330;286;335;Dyez et al., 2018
926A;1528.1;8.233;8.215;8.251;238;221;255;219;257;Sosdian et al., 2018
668B;1529.0;8.203;8.190;8.216;258;242;274;237;279;Dyez et al., 2018
668B;1535.7;8.161;8.146;8.176;294;276;314;271;318;Dyez et al., 2018
668B;1539.0;8.248;8.234;8.263;226;211;240;208;244;Hönisch et al., 2009
668B;1541.3;8.244;8.229;8.258;229;214;244;211;247;Hönisch et al., 2009
668B;1542.3;8.176;8.161;8.191;281;263;299;259;303;Hönisch et al., 2009
668B;1574.1;8.178;8.163;8.193;278;261;296;256;300;Hönisch et al., 2009
668B;1577.4;8.263;8.248;8.277;216;203;230;199;234;Hönisch et al., 2009
668B;1616.0;8.147;8.132;8.162;306;286;326;282;330;Hönisch et al., 2009
668B;1644.6;8.300;8.286;8.314;192;180;205;177;208;Hönisch et al., 2009
668B;1648.7;8.287;8.273;8.301;200;187;213;184;216;Hönisch et al., 2009
668B;1659.5;8.298;8.284;8.313;194;182;207;178;210;Hönisch et al., 2009
668B;1698.5;8.162;8.147;8.177;294;275;313;270;317;Hönisch et al., 2009
668B;1753.1;8.164;8.149;8.179;292;274;311;269;315;Hönisch et al., 2009
668B;1774.9;8.256;8.241;8.270;220;206;234;202;237;Hönisch et al., 2009
668B;1779.6;8.242;8.228;8.256;229;215;244;211;248;Hönisch et al., 2009
926A;1883.3;8.252;8.236;8.269;225;210;241;207;243;Sosdian et al., 2018
926A;2214.8;8.154;8.137;8.171;302;282;323;278;326;Sosdian et al., 2018
999A;2337.8;8.100;8.086;8.115;330;308;352;302;358;Martínez-Botí et al., 2015
999A;2346.7;8.102;8.082;8.121;329;304;355;301;357;Martínez-Botí et al., 2015
999A;2352.7;8.110;8.095;8.125;319;298;341;292;346;Martínez-Botí et al., 2015
999A;2362.2;7.988;7.969;8.008;463;429;499;425;501;Martínez-Botí et al., 2015
999A;2372.2;8.015;7.999;8.032;428;399;458;393;463;Martínez-Botí et al., 2015
999A;2381.3;8.050;8.035;8.066;385;359;412;353;417;Martínez-Botí et al., 2015
999A;2389.3;8.046;8.031;8.061;390;365;417;358;423;Martínez-Botí et al., 2015
999A;2410.9;8.141;8.127;8.155;290;271;309;265;315;Martínez-Botí et al., 2015
999A;2424.9;8.086;8.072;8.100;345;323;369;316;374;Martínez-Botí et al., 2015
999A;2451.2;8.098;8.084;8.112;333;311;355;305;361;Martínez-Botí et al., 2015
999A;2474.5;8.078;8.064;8.092;354;331;378;325;384;Martínez-Botí et al., 2015
999A;2500.4;8.063;8.048;8.078;371;346;397;340;402;Martínez-Botí et al., 2015
999A;2501.4;8.058;8.044;8.073;376;351;401;345;407;Martínez-Botí et al., 2015
999A;2521.9;8.181;8.167;8.194;257;239;274;235;279;Martínez-Botí et al., 2015
999A;2545.2;8.084;8.070;8.098;348;325;372;319;377;Martínez-Botí et al., 2015
926A;2548.6;8.178;8.162;8.193;281;263;300;258;303;Sosdian et al., 2018
999A;2561.9;8.118;8.104;8.132;313;292;334;286;339;Martínez-Botí et al., 2015
999A;2579.4;8.088;8.074;8.103;343;321;367;315;372;Martínez-Botí et al., 2015
999A;2594.8;8.057;8.040;8.074;378;352;405;347;409;Martínez-Botí et al., 2015
999A;2615.1;8.141;8.128;8.155;292;272;311;267;317;Martínez-Botí et al., 2015
999A;2624.5;8.113;8.098;8.127;319;298;341;292;346;Martínez-Botí et al., 2015
999A;2630.9;8.179;8.165;8.193;258;240;276;236;280;Martínez-Botí et al., 2015
999A;2648.3;8.137;8.123;8.151;295;276;315;270;321;Martínez-Botí et al., 2015
999A;2664.7;8.113;8.098;8.128;318;296;340;291;344;Martínez-Botí et al., 2015
999A;2673.0;8.159;8.144;8.174;276;257;295;252;299;Martínez-Botí et al., 2015
999A;2680.4;8.095;8.081;8.109;337;315;360;309;366;Martínez-Botí et al., 2015
999A;2686.6;8.136;8.122;8.150;297;277;318;272;322;Martínez-Botí et al., 2015
999A;2695.2;8.147;8.133;8.161;288;269;307;263;312;Martínez-Botí et al., 2015
999A;2700.0;8.196;8.176;8.217;245;225;266;224;266;Martínez-Botí et al., 2015
999A;2703.2;8.100;8.084;8.116;332;309;356;305;360;Martínez-Botí et al., 2015
999A;2707.2;8.161;8.147;8.175;275;256;293;251;298;Martínez-Botí et al., 2015
999A;2745.5;8.078;8.064;8.093;355;331;379;325;384;Martínez-Botí et al., 2015
999A;2751.5;8.096;8.079;8.113;336;312;361;308;364;Martínez-Botí et al., 2015
999A;2764.2;8.061;8.046;8.076;374;349;400;343;405;Martínez-Botí et al., 2015
999A;2777.5;8.141;8.127;8.155;293;273;313;268;318;Martínez-Botí et al., 2015
999A;2798.5;8.137;8.123;8.152;295;275;316;270;320;Martínez-Botí et al., 2015
999A;2830.2;8.097;8.083;8.112;334;312;357;306;362;Martínez-Botí et al., 2015
999A;2831.7;8.057;8.032;8.081;379;346;413;347;410;Martínez-Botí et al., 2015
999A;2838.9;8.034;8.019;8.048;406;379;434;373;440;Martínez-Botí et al., 2015
999A;2849.2;8.110;8.095;8.125;322;301;345;295;350;Martínez-Botí et al., 2015
999A;2858.3;7.989;7.973;8.004;464;433;495;426;502;Martínez-Botí et al., 2015
926A;2881.5;8.239;8.224;8.254;233;219;248;215;252;Sosdian et al., 2018
999A;2912.4;8.050;8.035;8.065;387;362;413;355;419;Martínez-Botí et al., 2015
999A;2923.6;8.044;8.029;8.060;394;367;421;361;426;Martínez-Botí et al., 2015
999A;2941.6;8.079;8.065;8.093;354;331;378;325;384;Martínez-Botí et al., 2015
999A;2950.5;8.061;8.046;8.077;374;349;401;343;405;Martínez-Botí et al., 2015
999A;2951.2;8.008;7.985;8.030;438;403;475;402;474;Martínez-Botí et al., 2015
999A;2959.6;8.068;8.055;8.083;365;341;389;334;395;Martínez-Botí et al., 2015
999A;2978.1;8.087;8.073;8.101;346;323;369;317;375;Martínez-Botí et al., 2015
999A;3002.8;8.049;8.034;8.064;388;362;414;356;420;Martínez-Botí et al., 2015
999A;3011.0;8.060;8.045;8.076;375;350;401;344;406;Martínez-Botí et al., 2015
999A;3027.6;8.039;8.024;8.054;400;374;427;367;433;Martínez-Botí et al., 2015
999A;3042.7;8.007;7.990;8.024;440;410;472;404;476;Martínez-Botí et al., 2015
999A;3050.0;8.006;7.992;8.021;440;411;470;404;476;Martínez-Botí et al., 2015
999A;3059.0;8.056;8.038;8.074;380;352;408;348;411;Martínez-Botí et al., 2015
999A;3063.0;8.011;7.995;8.027;434;405;465;398;470;Martínez-Botí et al., 2015
999A;3066.5;8.039;8.024;8.055;399;372;427;366;432;Martínez-Botí et al., 2015
999A;3091.2;8.079;8.064;8.094;354;330;378;324;383;Martínez-Botí et al., 2015
999A;3100.2;8.093;8.078;8.108;339;316;362;310;367;Martínez-Botí et al., 2015
999A;3114.2;8.028;8.013;8.043;414;386;442;379;448;Martínez-Botí et al., 2015
999A;3133.2;8.071;8.054;8.087;364;339;390;334;394;Martínez-Botí et al., 2015
999A;3143.2;8.080;8.063;8.098;353;328;379;324;382;Martínez-Botí et al., 2015
999A;3149.8;8.115;8.102;8.129;315;294;336;288;341;de la Vega et al., 2020
999A;3151.9;8.021;7.987;8.055;422;377;471;387;457;Martínez-Botí et al., 2015
999A;3152.2;8.039;8.024;8.053;399;373;426;366;432;de la Vega et al., 2020
999A;3153.1;8.058;8.043;8.074;376;351;403;345;408;de la Vega et al., 2020
999A;3155.3;8.077;8.064;8.090;355;332;378;325;384;de la Vega et al., 2020
999A;3156.8;7.943;7.928;7.958;530;496;566;487;573;de la Vega et al., 2020
999A;3157.9;8.074;8.058;8.089;360;335;385;330;390;Martínez-Botí et al., 2015
999A;3158.8;8.066;8.053;8.079;367;343;390;336;398;de la Vega et al., 2020
999A;3160.1;8.066;8.051;8.080;367;343;392;336;398;de la Vega et al., 2020
999A;3161.9;7.991;7.976;8.006;461;430;492;423;498;de la Vega et al., 2020
999A;3163.1;8.034;8.021;8.048;404;378;431;371;438;de la Vega et al., 2020
999A;3171.6;7.978;7.962;7.994;478;446;512;439;517;Martínez-Botí et al., 2015
999A;3179.8;8.035;8.020;8.049;404;378;431;371;438;Martínez-Botí et al., 2015
999A;3181.5;8.086;8.072;8.100;345;322;368;316;374;de la Vega et al., 2020
999A;3185.3;8.052;8.039;8.066;383;358;408;351;415;de la Vega et al., 2020
999A;3186.4;7.925;7.907;7.944;558;518;598;512;603;de la Vega et al., 2020
999A;3189.2;8.129;8.115;8.143;302;282;322;276;328;Martínez-Botí et al., 2015
999A;3190.8;8.001;7.984;8.019;447;416;479;410;483;de la Vega et al., 2020
999A;3196.0;7.967;7.951;7.982;495;462;529;454;535;de la Vega et al., 2020
999A;3198.7;8.081;8.066;8.097;351;327;376;322;381;Martínez-Botí et al., 2015
999A;3202.9;8.046;8.033;8.059;390;365;416;358;423;de la Vega et al., 2020
999A;3205.3;7.966;7.948;7.985;495;460;532;454;535;de la Vega et al., 2020
999A;3208.3;8.025;8.010;8.041;416;388;445;381;450;de la Vega et al., 2020
999A;3209.4;8.084;8.067;8.102;347;323;373;318;377;Martínez-Botí et al., 2015
999A;3211.0;8.004;7.987;8.021;444;413;476;407;480;de la Vega et al., 2020
999A;3216.1;8.039;8.024;8.054;399;372;427;366;432;de la Vega et al., 2020
999A;3220.1;8.002;7.984;8.020;446;414;478;409;482;de la Vega et al., 2020
999A;3224.0;8.012;7.995;8.029;433;403;464;397;468;de la Vega et al., 2020
